,Component,type,name
64,FamilyHistory,id,Demographics
65,FamilyHistory,id,Exposure
66,FamilyHistory,id,FollowUp
67,FamilyHistory,id,Diagnosis
68,FamilyHistory,id,Therapy
69,FamilyHistory,id,MolecularTest
70,FamilyHistory,id,Biospecimen
71,FamilyHistory,id,ClinicalDataTier2
72,FamilyHistory,id,SRRSClinicalDataTier2
73,FamilyHistory,id,LungCancerTier3
74,FamilyHistory,id,ColorectalCancerTier3
75,FamilyHistory,id,BreastCancerTier3
76,FamilyHistory,id,NeuroblastomaandGliomaTier3
77,FamilyHistory,id,AcuteLymphoblasticLeukemiaTier3
78,FamilyHistory,id,OvarianCancerTier3
79,FamilyHistory,id,ProstateCancerTier3
80,FamilyHistory,id,SarcomaTier3
81,FamilyHistory,id,PancreaticCancerTier3
82,FamilyHistory,id,MelanomaTier3
83,FamilyHistory,id,SRRSBiospecimen
84,FamilyHistory,id,OtherAssay
85,FamilyHistory,id,ScRNA-seqLevel1
86,FamilyHistory,id,ScRNA-seqLevel2
87,FamilyHistory,id,ScRNA-seqLevel3
88,FamilyHistory,id,ScRNA-seqLevel4
89,FamilyHistory,id,BulkRNA-seqLevel1
90,FamilyHistory,id,BulkRNA-seqLevel2
91,FamilyHistory,id,BulkRNA-seqLevel3
92,FamilyHistory,id,BulkWESLevel1
93,FamilyHistory,id,BulkWESLevel2
94,FamilyHistory,id,BulkWESLevel3
95,FamilyHistory,id,ScATAC-seqLevel1
96,FamilyHistory,id,ImagingLevel2
97,FamilyHistory,id,ImagingLevel2Channels
98,Exposure,id,Patient
99,Exposure,id,Demographics
100,Exposure,id,FamilyHistory
101,Exposure,id,FollowUp
102,Exposure,id,Diagnosis
103,Exposure,id,Therapy
104,Exposure,id,MolecularTest
105,Exposure,id,Biospecimen
106,Exposure,id,ClinicalDataTier2
107,Exposure,id,SRRSClinicalDataTier2
108,Exposure,id,LungCancerTier3
109,Exposure,id,ColorectalCancerTier3
110,Exposure,id,BreastCancerTier3
111,Exposure,id,NeuroblastomaandGliomaTier3
112,Exposure,id,AcuteLymphoblasticLeukemiaTier3
113,Exposure,id,OvarianCancerTier3
114,Exposure,id,ProstateCancerTier3
115,Exposure,id,SarcomaTier3
116,Exposure,id,PancreaticCancerTier3
117,Exposure,id,MelanomaTier3
118,Exposure,id,SRRSBiospecimen
119,Exposure,id,OtherAssay
120,Exposure,id,ScRNA-seqLevel1
121,Exposure,id,ScRNA-seqLevel2
122,Exposure,id,ScRNA-seqLevel3
123,Exposure,id,ScRNA-seqLevel4
124,Exposure,id,BulkRNA-seqLevel1
125,Exposure,id,BulkRNA-seqLevel2
126,Exposure,id,BulkRNA-seqLevel3
127,Exposure,id,BulkWESLevel1
128,Exposure,id,BulkWESLevel2
129,Exposure,id,BulkWESLevel3
130,Exposure,id,ScATAC-seqLevel1
131,Exposure,id,ImagingLevel2
132,Exposure,id,ImagingLevel2Channels
133,FollowUp,id,Patient
134,FollowUp,id,Demographics
135,FollowUp,id,FamilyHistory
136,FollowUp,id,Exposure
137,FollowUp,id,Diagnosis
138,FollowUp,id,Therapy
139,FollowUp,id,MolecularTest
140,FollowUp,id,Biospecimen
141,FollowUp,id,ClinicalDataTier2
142,FollowUp,id,SRRSClinicalDataTier2
143,FollowUp,id,LungCancerTier3
144,FollowUp,id,ColorectalCancerTier3
145,FollowUp,id,BreastCancerTier3
146,FollowUp,id,NeuroblastomaandGliomaTier3
147,FollowUp,id,AcuteLymphoblasticLeukemiaTier3
148,FollowUp,id,OvarianCancerTier3
149,FollowUp,id,ProstateCancerTier3
150,FollowUp,id,SarcomaTier3
151,FollowUp,id,PancreaticCancerTier3
152,FollowUp,id,MelanomaTier3
153,FollowUp,id,SRRSBiospecimen
154,FollowUp,id,OtherAssay
155,FollowUp,id,ScRNA-seqLevel1
156,FollowUp,id,ScRNA-seqLevel2
157,FollowUp,id,ScRNA-seqLevel3
158,FollowUp,id,ScRNA-seqLevel4
159,FollowUp,id,BulkRNA-seqLevel1
160,FollowUp,id,BulkRNA-seqLevel2
161,FollowUp,id,BulkRNA-seqLevel3
162,FollowUp,id,BulkWESLevel1
163,FollowUp,id,BulkWESLevel2
164,FollowUp,id,BulkWESLevel3
165,FollowUp,id,ScATAC-seqLevel1
166,FollowUp,id,ImagingLevel2
167,FollowUp,id,ImagingLevel2Channels
168,Diagnosis,id,Patient
169,Diagnosis,id,Demographics
170,Diagnosis,id,FamilyHistory
171,Diagnosis,id,Exposure
172,Diagnosis,id,FollowUp
173,Diagnosis,id,Therapy
174,Diagnosis,id,MolecularTest
175,Diagnosis,id,Biospecimen
176,Diagnosis,id,ClinicalDataTier2
177,Diagnosis,id,SRRSClinicalDataTier2
178,Diagnosis,id,LungCancerTier3
179,Diagnosis,id,ColorectalCancerTier3
180,Diagnosis,id,BreastCancerTier3
181,Diagnosis,id,NeuroblastomaandGliomaTier3
182,Diagnosis,id,AcuteLymphoblasticLeukemiaTier3
183,Diagnosis,id,OvarianCancerTier3
184,Diagnosis,id,ProstateCancerTier3
185,Diagnosis,id,SarcomaTier3
186,Diagnosis,id,PancreaticCancerTier3
187,Diagnosis,id,MelanomaTier3
188,Diagnosis,id,SRRSBiospecimen
189,Diagnosis,id,OtherAssay
190,Diagnosis,id,ScRNA-seqLevel1
191,Diagnosis,id,ScRNA-seqLevel2
192,Diagnosis,id,ScRNA-seqLevel3
193,Diagnosis,id,ScRNA-seqLevel4
194,Diagnosis,id,BulkRNA-seqLevel1
195,Diagnosis,id,BulkRNA-seqLevel2
196,Diagnosis,id,BulkRNA-seqLevel3
197,Diagnosis,id,BulkWESLevel1
198,Diagnosis,id,BulkWESLevel2
199,Diagnosis,id,BulkWESLevel3
200,Diagnosis,id,ScATAC-seqLevel1
201,Diagnosis,id,ImagingLevel2
202,Diagnosis,id,ImagingLevel2Channels
203,Therapy,id,Patient
204,Therapy,id,Demographics
205,Therapy,id,FamilyHistory
206,Therapy,id,Exposure
207,Therapy,id,FollowUp
208,Therapy,id,Diagnosis
209,Therapy,id,MolecularTest
210,Therapy,id,Biospecimen
211,Therapy,id,ClinicalDataTier2
212,Therapy,id,SRRSClinicalDataTier2
213,Therapy,id,LungCancerTier3
214,Therapy,id,ColorectalCancerTier3
215,Therapy,id,BreastCancerTier3
216,Therapy,id,NeuroblastomaandGliomaTier3
217,Therapy,id,AcuteLymphoblasticLeukemiaTier3
218,Therapy,id,OvarianCancerTier3
219,Therapy,id,ProstateCancerTier3
220,Therapy,id,SarcomaTier3
221,Therapy,id,PancreaticCancerTier3
222,Therapy,id,MelanomaTier3
223,Therapy,id,SRRSBiospecimen
224,Therapy,id,OtherAssay
225,Therapy,id,ScRNA-seqLevel1
226,Therapy,id,ScRNA-seqLevel2
227,Therapy,id,ScRNA-seqLevel3
228,Therapy,id,ScRNA-seqLevel4
229,Therapy,id,BulkRNA-seqLevel1
230,Therapy,id,BulkRNA-seqLevel2
231,Therapy,id,BulkRNA-seqLevel3
232,Therapy,id,BulkWESLevel1
233,Therapy,id,BulkWESLevel2
234,Therapy,id,BulkWESLevel3
235,Therapy,id,ScATAC-seqLevel1
236,Therapy,id,ImagingLevel2
237,Therapy,id,ImagingLevel2Channels
238,MolecularTest,id,Patient
239,MolecularTest,id,Demographics
240,MolecularTest,id,FamilyHistory
241,MolecularTest,id,Exposure
242,MolecularTest,id,FollowUp
243,MolecularTest,id,Diagnosis
244,MolecularTest,id,Therapy
245,MolecularTest,id,Biospecimen
246,MolecularTest,id,ClinicalDataTier2
247,MolecularTest,id,SRRSClinicalDataTier2
248,MolecularTest,id,LungCancerTier3
249,MolecularTest,id,ColorectalCancerTier3
250,MolecularTest,id,BreastCancerTier3
251,MolecularTest,id,NeuroblastomaandGliomaTier3
252,MolecularTest,id,AcuteLymphoblasticLeukemiaTier3
253,MolecularTest,id,OvarianCancerTier3
254,MolecularTest,id,ProstateCancerTier3
255,MolecularTest,id,SarcomaTier3
256,MolecularTest,id,PancreaticCancerTier3
257,MolecularTest,id,MelanomaTier3
258,MolecularTest,id,SRRSBiospecimen
259,MolecularTest,id,OtherAssay
260,MolecularTest,id,ScRNA-seqLevel1
261,MolecularTest,id,ScRNA-seqLevel2
262,MolecularTest,id,ScRNA-seqLevel3
263,MolecularTest,id,ScRNA-seqLevel4
264,MolecularTest,id,BulkRNA-seqLevel1
265,MolecularTest,id,BulkRNA-seqLevel2
266,MolecularTest,id,BulkRNA-seqLevel3
267,MolecularTest,id,BulkWESLevel1
268,MolecularTest,id,BulkWESLevel2
269,MolecularTest,id,BulkWESLevel3
270,MolecularTest,id,ScATAC-seqLevel1
271,MolecularTest,id,ImagingLevel2
272,MolecularTest,id,ImagingLevel2Channels
273,Biospecimen,id,ClinicalDataTier2
274,Biospecimen,id,SRRSClinicalDataTier2
275,Biospecimen,id,LungCancerTier3
276,Biospecimen,id,ColorectalCancerTier3
277,Biospecimen,id,BreastCancerTier3
278,Biospecimen,id,NeuroblastomaandGliomaTier3
279,Biospecimen,id,AcuteLymphoblasticLeukemiaTier3
280,Biospecimen,id,OvarianCancerTier3
281,Biospecimen,id,ProstateCancerTier3
282,Biospecimen,id,SarcomaTier3
283,Biospecimen,id,PancreaticCancerTier3
284,Biospecimen,id,MelanomaTier3
285,Biospecimen,id,SRRSBiospecimen
286,Biospecimen,id,OtherAssay
287,Biospecimen,id,ScRNA-seqLevel1
288,Biospecimen,id,ScRNA-seqLevel2
289,Biospecimen,id,ScRNA-seqLevel3
290,Biospecimen,id,ScRNA-seqLevel4
291,Biospecimen,id,BulkRNA-seqLevel1
292,Biospecimen,id,BulkRNA-seqLevel2
293,Biospecimen,id,BulkRNA-seqLevel3
294,Biospecimen,id,BulkWESLevel1
295,Biospecimen,id,BulkWESLevel2
296,Biospecimen,id,BulkWESLevel3
297,Biospecimen,id,ScATAC-seqLevel1
298,Biospecimen,id,ImagingLevel2
299,Biospecimen,id,ImagingLevel2Channels
300,ClinicalDataTier2,id,Biospecimen
301,ClinicalDataTier2,id,SRRSClinicalDataTier2
302,ClinicalDataTier2,id,LungCancerTier3
303,ClinicalDataTier2,id,ColorectalCancerTier3
304,ClinicalDataTier2,id,BreastCancerTier3
305,ClinicalDataTier2,id,NeuroblastomaandGliomaTier3
306,ClinicalDataTier2,id,AcuteLymphoblasticLeukemiaTier3
307,ClinicalDataTier2,id,OvarianCancerTier3
308,ClinicalDataTier2,id,ProstateCancerTier3
309,ClinicalDataTier2,id,SarcomaTier3
310,ClinicalDataTier2,id,PancreaticCancerTier3
311,ClinicalDataTier2,id,MelanomaTier3
312,ClinicalDataTier2,id,SRRSBiospecimen
313,ClinicalDataTier2,id,OtherAssay
314,ClinicalDataTier2,id,ScRNA-seqLevel1
315,ClinicalDataTier2,id,ScRNA-seqLevel2
316,ClinicalDataTier2,id,ScRNA-seqLevel3
317,ClinicalDataTier2,id,ScRNA-seqLevel4
318,ClinicalDataTier2,id,BulkRNA-seqLevel1
319,ClinicalDataTier2,id,BulkRNA-seqLevel2
320,ClinicalDataTier2,id,BulkRNA-seqLevel3
321,ClinicalDataTier2,id,BulkWESLevel1
322,ClinicalDataTier2,id,BulkWESLevel2
323,ClinicalDataTier2,id,BulkWESLevel3
324,ClinicalDataTier2,id,ScATAC-seqLevel1
325,ClinicalDataTier2,id,ImagingLevel2
326,ClinicalDataTier2,id,ImagingLevel2Channels
327,SRRSClinicalDataTier2,id,Biospecimen
328,SRRSClinicalDataTier2,id,ClinicalDataTier2
329,SRRSClinicalDataTier2,id,LungCancerTier3
330,SRRSClinicalDataTier2,id,ColorectalCancerTier3
331,SRRSClinicalDataTier2,id,BreastCancerTier3
332,SRRSClinicalDataTier2,id,NeuroblastomaandGliomaTier3
333,SRRSClinicalDataTier2,id,AcuteLymphoblasticLeukemiaTier3
334,SRRSClinicalDataTier2,id,OvarianCancerTier3
335,SRRSClinicalDataTier2,id,ProstateCancerTier3
336,SRRSClinicalDataTier2,id,SarcomaTier3
337,SRRSClinicalDataTier2,id,PancreaticCancerTier3
338,SRRSClinicalDataTier2,id,MelanomaTier3
339,SRRSClinicalDataTier2,id,SRRSBiospecimen
340,SRRSClinicalDataTier2,id,OtherAssay
341,SRRSClinicalDataTier2,id,ScRNA-seqLevel1
342,SRRSClinicalDataTier2,id,ScRNA-seqLevel2
343,SRRSClinicalDataTier2,id,ScRNA-seqLevel3
344,SRRSClinicalDataTier2,id,ScRNA-seqLevel4
345,SRRSClinicalDataTier2,id,BulkRNA-seqLevel1
346,SRRSClinicalDataTier2,id,BulkRNA-seqLevel2
347,SRRSClinicalDataTier2,id,BulkRNA-seqLevel3
348,SRRSClinicalDataTier2,id,BulkWESLevel1
349,SRRSClinicalDataTier2,id,BulkWESLevel2
350,SRRSClinicalDataTier2,id,BulkWESLevel3
351,SRRSClinicalDataTier2,id,ScATAC-seqLevel1
352,SRRSClinicalDataTier2,id,ImagingLevel2
353,SRRSClinicalDataTier2,id,ImagingLevel2Channels
354,LungCancerTier3,id,Biospecimen
355,LungCancerTier3,id,ClinicalDataTier2
356,LungCancerTier3,id,SRRSClinicalDataTier2
357,LungCancerTier3,id,ColorectalCancerTier3
358,LungCancerTier3,id,BreastCancerTier3
359,LungCancerTier3,id,NeuroblastomaandGliomaTier3
360,LungCancerTier3,id,AcuteLymphoblasticLeukemiaTier3
361,LungCancerTier3,id,OvarianCancerTier3
362,LungCancerTier3,id,ProstateCancerTier3
363,LungCancerTier3,id,SarcomaTier3
364,LungCancerTier3,id,PancreaticCancerTier3
365,LungCancerTier3,id,MelanomaTier3
366,LungCancerTier3,id,SRRSBiospecimen
367,LungCancerTier3,id,OtherAssay
368,LungCancerTier3,id,ScRNA-seqLevel1
369,LungCancerTier3,id,ScRNA-seqLevel2
370,LungCancerTier3,id,ScRNA-seqLevel3
371,LungCancerTier3,id,ScRNA-seqLevel4
372,LungCancerTier3,id,BulkRNA-seqLevel1
373,LungCancerTier3,id,BulkRNA-seqLevel2
374,LungCancerTier3,id,BulkRNA-seqLevel3
375,LungCancerTier3,id,BulkWESLevel1
376,LungCancerTier3,id,BulkWESLevel2
377,LungCancerTier3,id,BulkWESLevel3
378,LungCancerTier3,id,ScATAC-seqLevel1
379,LungCancerTier3,id,ImagingLevel2
380,LungCancerTier3,id,ImagingLevel2Channels
381,ColorectalCancerTier3,id,Biospecimen
382,ColorectalCancerTier3,id,ClinicalDataTier2
383,ColorectalCancerTier3,id,SRRSClinicalDataTier2
384,ColorectalCancerTier3,id,LungCancerTier3
385,ColorectalCancerTier3,id,BreastCancerTier3
386,ColorectalCancerTier3,id,NeuroblastomaandGliomaTier3
387,ColorectalCancerTier3,id,AcuteLymphoblasticLeukemiaTier3
388,ColorectalCancerTier3,id,OvarianCancerTier3
389,ColorectalCancerTier3,id,ProstateCancerTier3
390,ColorectalCancerTier3,id,SarcomaTier3
391,ColorectalCancerTier3,id,PancreaticCancerTier3
392,ColorectalCancerTier3,id,MelanomaTier3
393,ColorectalCancerTier3,id,SRRSBiospecimen
394,ColorectalCancerTier3,id,OtherAssay
395,ColorectalCancerTier3,id,ScRNA-seqLevel1
396,ColorectalCancerTier3,id,ScRNA-seqLevel2
397,ColorectalCancerTier3,id,ScRNA-seqLevel3
398,ColorectalCancerTier3,id,ScRNA-seqLevel4
399,ColorectalCancerTier3,id,BulkRNA-seqLevel1
400,ColorectalCancerTier3,id,BulkRNA-seqLevel2
401,ColorectalCancerTier3,id,BulkRNA-seqLevel3
402,ColorectalCancerTier3,id,BulkWESLevel1
403,ColorectalCancerTier3,id,BulkWESLevel2
404,ColorectalCancerTier3,id,BulkWESLevel3
405,ColorectalCancerTier3,id,ScATAC-seqLevel1
406,ColorectalCancerTier3,id,ImagingLevel2
407,ColorectalCancerTier3,id,ImagingLevel2Channels
408,BreastCancerTier3,id,Biospecimen
409,BreastCancerTier3,id,ClinicalDataTier2
410,BreastCancerTier3,id,SRRSClinicalDataTier2
411,BreastCancerTier3,id,LungCancerTier3
412,BreastCancerTier3,id,ColorectalCancerTier3
413,BreastCancerTier3,id,NeuroblastomaandGliomaTier3
414,BreastCancerTier3,id,AcuteLymphoblasticLeukemiaTier3
415,BreastCancerTier3,id,OvarianCancerTier3
416,BreastCancerTier3,id,ProstateCancerTier3
417,BreastCancerTier3,id,SarcomaTier3
418,BreastCancerTier3,id,PancreaticCancerTier3
419,BreastCancerTier3,id,MelanomaTier3
420,BreastCancerTier3,id,SRRSBiospecimen
421,BreastCancerTier3,id,OtherAssay
422,BreastCancerTier3,id,ScRNA-seqLevel1
423,BreastCancerTier3,id,ScRNA-seqLevel2
424,BreastCancerTier3,id,ScRNA-seqLevel3
425,BreastCancerTier3,id,ScRNA-seqLevel4
426,BreastCancerTier3,id,BulkRNA-seqLevel1
427,BreastCancerTier3,id,BulkRNA-seqLevel2
428,BreastCancerTier3,id,BulkRNA-seqLevel3
429,BreastCancerTier3,id,BulkWESLevel1
430,BreastCancerTier3,id,BulkWESLevel2
431,BreastCancerTier3,id,BulkWESLevel3
432,BreastCancerTier3,id,ScATAC-seqLevel1
433,BreastCancerTier3,id,ImagingLevel2
434,BreastCancerTier3,id,ImagingLevel2Channels
435,NeuroblastomaandGliomaTier3,id,Biospecimen
436,NeuroblastomaandGliomaTier3,id,ClinicalDataTier2
437,NeuroblastomaandGliomaTier3,id,SRRSClinicalDataTier2
438,NeuroblastomaandGliomaTier3,id,LungCancerTier3
439,NeuroblastomaandGliomaTier3,id,ColorectalCancerTier3
440,NeuroblastomaandGliomaTier3,id,BreastCancerTier3
441,NeuroblastomaandGliomaTier3,id,AcuteLymphoblasticLeukemiaTier3
442,NeuroblastomaandGliomaTier3,id,OvarianCancerTier3
443,NeuroblastomaandGliomaTier3,id,ProstateCancerTier3
444,NeuroblastomaandGliomaTier3,id,SarcomaTier3
445,NeuroblastomaandGliomaTier3,id,PancreaticCancerTier3
446,NeuroblastomaandGliomaTier3,id,MelanomaTier3
447,NeuroblastomaandGliomaTier3,id,SRRSBiospecimen
448,NeuroblastomaandGliomaTier3,id,OtherAssay
449,NeuroblastomaandGliomaTier3,id,ScRNA-seqLevel1
450,NeuroblastomaandGliomaTier3,id,ScRNA-seqLevel2
451,NeuroblastomaandGliomaTier3,id,ScRNA-seqLevel3
452,NeuroblastomaandGliomaTier3,id,ScRNA-seqLevel4
453,NeuroblastomaandGliomaTier3,id,BulkRNA-seqLevel1
454,NeuroblastomaandGliomaTier3,id,BulkRNA-seqLevel2
455,NeuroblastomaandGliomaTier3,id,BulkRNA-seqLevel3
456,NeuroblastomaandGliomaTier3,id,BulkWESLevel1
457,NeuroblastomaandGliomaTier3,id,BulkWESLevel2
458,NeuroblastomaandGliomaTier3,id,BulkWESLevel3
459,NeuroblastomaandGliomaTier3,id,ScATAC-seqLevel1
460,NeuroblastomaandGliomaTier3,id,ImagingLevel2
461,NeuroblastomaandGliomaTier3,id,ImagingLevel2Channels
462,AcuteLymphoblasticLeukemiaTier3,id,Biospecimen
463,AcuteLymphoblasticLeukemiaTier3,id,ClinicalDataTier2
464,AcuteLymphoblasticLeukemiaTier3,id,SRRSClinicalDataTier2
465,AcuteLymphoblasticLeukemiaTier3,id,LungCancerTier3
466,AcuteLymphoblasticLeukemiaTier3,id,ColorectalCancerTier3
467,AcuteLymphoblasticLeukemiaTier3,id,BreastCancerTier3
468,AcuteLymphoblasticLeukemiaTier3,id,NeuroblastomaandGliomaTier3
469,AcuteLymphoblasticLeukemiaTier3,id,OvarianCancerTier3
470,AcuteLymphoblasticLeukemiaTier3,id,ProstateCancerTier3
471,AcuteLymphoblasticLeukemiaTier3,id,SarcomaTier3
472,AcuteLymphoblasticLeukemiaTier3,id,PancreaticCancerTier3
473,AcuteLymphoblasticLeukemiaTier3,id,MelanomaTier3
474,AcuteLymphoblasticLeukemiaTier3,id,SRRSBiospecimen
475,AcuteLymphoblasticLeukemiaTier3,id,OtherAssay
476,AcuteLymphoblasticLeukemiaTier3,id,ScRNA-seqLevel1
477,AcuteLymphoblasticLeukemiaTier3,id,ScRNA-seqLevel2
478,AcuteLymphoblasticLeukemiaTier3,id,ScRNA-seqLevel3
479,AcuteLymphoblasticLeukemiaTier3,id,ScRNA-seqLevel4
480,AcuteLymphoblasticLeukemiaTier3,id,BulkRNA-seqLevel1
481,AcuteLymphoblasticLeukemiaTier3,id,BulkRNA-seqLevel2
482,AcuteLymphoblasticLeukemiaTier3,id,BulkRNA-seqLevel3
483,AcuteLymphoblasticLeukemiaTier3,id,BulkWESLevel1
484,AcuteLymphoblasticLeukemiaTier3,id,BulkWESLevel2
485,AcuteLymphoblasticLeukemiaTier3,id,BulkWESLevel3
486,AcuteLymphoblasticLeukemiaTier3,id,ScATAC-seqLevel1
487,AcuteLymphoblasticLeukemiaTier3,id,ImagingLevel2
488,AcuteLymphoblasticLeukemiaTier3,id,ImagingLevel2Channels
489,OvarianCancerTier3,id,Biospecimen
490,OvarianCancerTier3,id,ClinicalDataTier2
491,OvarianCancerTier3,id,SRRSClinicalDataTier2
492,OvarianCancerTier3,id,LungCancerTier3
493,OvarianCancerTier3,id,ColorectalCancerTier3
494,OvarianCancerTier3,id,BreastCancerTier3
495,OvarianCancerTier3,id,NeuroblastomaandGliomaTier3
496,OvarianCancerTier3,id,AcuteLymphoblasticLeukemiaTier3
497,OvarianCancerTier3,id,ProstateCancerTier3
498,OvarianCancerTier3,id,SarcomaTier3
499,OvarianCancerTier3,id,PancreaticCancerTier3
500,OvarianCancerTier3,id,MelanomaTier3
501,OvarianCancerTier3,id,SRRSBiospecimen
502,OvarianCancerTier3,id,OtherAssay
503,OvarianCancerTier3,id,ScRNA-seqLevel1
504,OvarianCancerTier3,id,ScRNA-seqLevel2
505,OvarianCancerTier3,id,ScRNA-seqLevel3
506,OvarianCancerTier3,id,ScRNA-seqLevel4
507,OvarianCancerTier3,id,BulkRNA-seqLevel1
508,OvarianCancerTier3,id,BulkRNA-seqLevel2
509,OvarianCancerTier3,id,BulkRNA-seqLevel3
510,OvarianCancerTier3,id,BulkWESLevel1
511,OvarianCancerTier3,id,BulkWESLevel2
512,OvarianCancerTier3,id,BulkWESLevel3
513,OvarianCancerTier3,id,ScATAC-seqLevel1
514,OvarianCancerTier3,id,ImagingLevel2
515,OvarianCancerTier3,id,ImagingLevel2Channels
516,ProstateCancerTier3,id,Biospecimen
517,ProstateCancerTier3,id,ClinicalDataTier2
518,ProstateCancerTier3,id,SRRSClinicalDataTier2
519,ProstateCancerTier3,id,LungCancerTier3
520,ProstateCancerTier3,id,ColorectalCancerTier3
521,ProstateCancerTier3,id,BreastCancerTier3
522,ProstateCancerTier3,id,NeuroblastomaandGliomaTier3
523,ProstateCancerTier3,id,AcuteLymphoblasticLeukemiaTier3
524,ProstateCancerTier3,id,OvarianCancerTier3
525,ProstateCancerTier3,id,SarcomaTier3
526,ProstateCancerTier3,id,PancreaticCancerTier3
527,ProstateCancerTier3,id,MelanomaTier3
528,ProstateCancerTier3,id,SRRSBiospecimen
529,ProstateCancerTier3,id,OtherAssay
530,ProstateCancerTier3,id,ScRNA-seqLevel1
531,ProstateCancerTier3,id,ScRNA-seqLevel2
532,ProstateCancerTier3,id,ScRNA-seqLevel3
533,ProstateCancerTier3,id,ScRNA-seqLevel4
534,ProstateCancerTier3,id,BulkRNA-seqLevel1
535,ProstateCancerTier3,id,BulkRNA-seqLevel2
536,ProstateCancerTier3,id,BulkRNA-seqLevel3
537,ProstateCancerTier3,id,BulkWESLevel1
538,ProstateCancerTier3,id,BulkWESLevel2
539,ProstateCancerTier3,id,BulkWESLevel3
540,ProstateCancerTier3,id,ScATAC-seqLevel1
541,ProstateCancerTier3,id,ImagingLevel2
542,ProstateCancerTier3,id,ImagingLevel2Channels
543,SarcomaTier3,id,Biospecimen
544,SarcomaTier3,id,ClinicalDataTier2
545,SarcomaTier3,id,SRRSClinicalDataTier2
546,SarcomaTier3,id,LungCancerTier3
547,SarcomaTier3,id,ColorectalCancerTier3
548,SarcomaTier3,id,BreastCancerTier3
549,SarcomaTier3,id,NeuroblastomaandGliomaTier3
550,SarcomaTier3,id,AcuteLymphoblasticLeukemiaTier3
551,SarcomaTier3,id,OvarianCancerTier3
552,SarcomaTier3,id,ProstateCancerTier3
553,SarcomaTier3,id,PancreaticCancerTier3
554,SarcomaTier3,id,MelanomaTier3
555,SarcomaTier3,id,SRRSBiospecimen
556,SarcomaTier3,id,OtherAssay
557,SarcomaTier3,id,ScRNA-seqLevel1
558,SarcomaTier3,id,ScRNA-seqLevel2
559,SarcomaTier3,id,ScRNA-seqLevel3
560,SarcomaTier3,id,ScRNA-seqLevel4
561,SarcomaTier3,id,BulkRNA-seqLevel1
562,SarcomaTier3,id,BulkRNA-seqLevel2
563,SarcomaTier3,id,BulkRNA-seqLevel3
564,SarcomaTier3,id,BulkWESLevel1
565,SarcomaTier3,id,BulkWESLevel2
566,SarcomaTier3,id,BulkWESLevel3
567,SarcomaTier3,id,ScATAC-seqLevel1
568,SarcomaTier3,id,ImagingLevel2
569,SarcomaTier3,id,ImagingLevel2Channels
570,PancreaticCancerTier3,id,Biospecimen
571,PancreaticCancerTier3,id,ClinicalDataTier2
572,PancreaticCancerTier3,id,SRRSClinicalDataTier2
573,PancreaticCancerTier3,id,LungCancerTier3
