,Attribute,Label,Description,Required,Component
cloneId,cloneId,cloneId,Identification of clone (e.g. 2D1),False,Resource
uniprotId,uniprotId,uniprotId,TBD,False,Resource
Conjugate,Conjugate,conjugate,Is the antibody conjugated or nonconjugated,False,Resource
Host Organism,Host Organism,hostOrganism,The species of the organism that hosts the antibody,False,Resource
Transplantation Donor_id,Transplantation Donor_id,transplantationDonorId,The donor indentifier number for the transplantion donor. ,False,Resource
Transplantation Type,Transplantation Type,transplantationType,TBD,False,Resource
Background Strain,Background Strain,backgroundStrain,"An assigned name that describes the genetic make-up (all its alleles at all loci) except the mutated gene of interest and a very small amount of other genetic material, generally from one or two other strains. Correct strain nomenclature indicates what a mutant strain’s background is.",False,Resource
Animal Model Disease,Animal Model Disease,animalModelDisease,Diseases that this resource is used to model,False,Resource
Animal Model of Manifestation,Animal Model of Manifestation,animalModelofManifestation,"Manifestations/symptoms that this resource is used to model (e.g. tumor type, behavioral phenotype, etc.) ",False,Resource
Strain Nomenclature,Strain Nomenclature,strainNomenclature,The standard nomenclature for the strain. (e.g. B6.129S2-NF1tm1Tyj/J). Set by the International Committee on Standardized Genetic Nomenclature for Mice. See http://www.informatics.jax.org/mgihome/nomen/strains.shtml for nomenclature information.,False,Resource
Donor_id,Donor_id,donorId,A uniqe identifier for donor.,False,Resource
Background Substrain,Background Substrain,backgroundSubstrain,"The substrain is a particular variety of a strain. For example, a C57BL/6 mice may have a substrain of C57BL/6J, C57BL/6Tac, or another substrain. ",False,Resource
Generation,Generation,generation,The generation of the animal model. (e.g. 13),False,Resource
Animal State,Animal State,animalState,"State the animal is in according to the vendor/developer. (e.g. embryo, sperm, live)",False,Resource
Backbone Size,Backbone Size,backboneSize,Size in bp of the backbone without the insert,False,Resource
Cloning Method,Cloning Method,cloningMethod,"How the vector was constructed. (e.g. restriction enzyme, TOPO cloning, etc.)",False,Resource
Insert Entrez_id,Insert Entrez_id,insertEntrezId,TBD,False,Resource
Insert Species,Insert Species,insertSpecies,Species of the insert,False,Resource
3primer,3primer,3primer,Primer to sequence the 3' end (C-terminal) of the insert.,False,Resource
5prime Site Destroyed,5prime Site Destroyed,5primeSiteDestroyed,"If 5' site was destroyed during cloning. (e.g. yes, no, unknown).",False,Resource
Vector Backbone,Vector Backbone,vectorBackbone,Name of the backbone the plasmid is built on. (e.g pGBT9),False,Resource
5prime Cloning Site,5prime Cloning Site,5primeCloningSite,"If Restriction Enzyme was selected as the cloning method, specifies what enzyme was used on the 5' (N-terminal) end of the insert",False,Resource
Vector Type,Vector Type,vectorType,"Primary function of the plasmid. (e.g. mammalian expression, bacterial expression, etc.)",False,Resource
5primer,5primer,5primer,Primer to sequence the 5' end (N-terminal) of the insert,False,Resource
nTerminal Tag,nTerminal Tag,nTerminalTag,Any tags on the N terminal 5' end of the gene insert in the plasmid. Only tags that are in frame,False,Resource
3prime Site Destroyed,3prime Site Destroyed,3primeSiteDestroyed,"If 3' site was destroyed during cloning. (e.g. yes, no, unknown)",False,Resource
Insert Size,Insert Size,insertSize,"Size, in bp, of the gene insert as it is in the plasmid.",False,Resource
Total Size,Total Size,totalSize,Size of vector with insert. Derived from insertSize and backboneSize.,False,Resource
Bacterial Resistance,Bacterial Resistance,bacterialResistance,"Antibiotic(s) that should be used for selection in bacteria. (e.g. ampicillin, kanamycin, etc.)",False,Resource
3prime Clonin gSite,3prime Clonin gSite,3primeCloningSite,TBD,False,Resource
Growth Temp,Growth Temp,growthTemp,At what temperature should the bacteria hosting the plasmid be grown,False,Resource
Growth Strain,Growth Strain,growthStrain,"The E.Coli strain that should be used to distribute the plasmid. (e.g. DH5alpha, NEB Stable, etc.)",False,Resource
Hazardous,Hazardous,hazardous,"Does the unmodified plasmid DNA, either in purified form or when introduced into bacterial or mammalian cells require handling at Biosafety Level 2 or higher?",False,Resource
Selectable Marker,Selectable Marker,selectableMarker,"Are there any additional selection markers on this plasmid, for example, any mammalian selection markers or fluorescent proteins?",False,Resource
Promoter,Promoter,promoter,Promoter driving the expression of the insert in the plasmid,False,Resource
Copy Number,Copy Number,copyNumber,"If a plasmid produces a sufficient amount of DNA from a normal miniprep or if plasmid requires special growth conditions or it is difficult to grow. (e.g. high copy, low copy, unknown).",False,Resource
Insert Name,Insert Name,insertName,Name of the main gene insert in the plasmid.,False,Resource
cTerminal Tag,cTerminal Tag,cTerminalTag,Any tags on the C terminal 3' end of the gene insert in the plasmid. Only tags that are in frame,False,Resource
gRNA shRNA sequence,gRNA shRNA sequence,gRNAshRNAsequence,"The sequence of the gRNA or shRNA for the gene insert, if present. ",False,Resource
Population Doubling Time,Population Doubling Time,populationDoublingTime,Time for cell line to double,False,Resource
Str Profile,Str Profile,strProfile,Short tandem repeat profile information.,False,Resource
Resistance,Resistance,resistance,List of compounds if a cell line has been selected for.,False,Resource
Contaminated Misidentified,Contaminated Misidentified,contaminatedMisidentified,If a cell line has been contaminated or misidentified,False,Resource
Organ,Organ,organ,TBD,False,Resource
Model of Manifestation,Model of Manifestation,modelofManifestation,"Manifestations/symptoms that this resource is used to model (e.g. tumor type, behavioral phenotype, etc.)",False,Resource
Cell Line Disease,Cell Line Disease,cellLineDisease,Diseases that this resource is used to model.,False,Resource
Origin Year,Origin Year,originYear,The year the cell line orginated.,False,Resource
Tissue,Tissue,tissue,The tissue the cell line is derived from.,False,Resource
Cell Line Category,Cell Line Category,cellLineCategory,The category to which the cell line belongs.,False,Resource
Specimen Type,Specimen Type,specimenType,The types of specimens that are banked.,False,Resource
Specimen Preparation Method,Specimen Preparation Method,specimenPreparationMethod,The preservation methods used by the biobank.,False,Resource
Tumor Type,Tumor Type,tumorType,"The types of tumors that are banked, if applicable.",False,Resource
Biobank_id,Biobank_id,biobankId,A unique identifier for the biobank.,False,Resource
Disease Type,Disease Type,diseaseType,"The diseases of the banked specimens, if applicable.",False,Resource
Specimen Format,Specimen Format,specimenFormat,How the specimens have been processed in preparation for distribution.,False,Resource
Biobank Name,Biobank Name,biobankName,TBD,False,Resource
Biobank URL,Biobank URL,biobankURL,A URL for the biobank landing page.,False,Resource
Specimen Tissue Type,Specimen Tissue Type,specimenTissueType,The types of tissues that are banked.,False,Resource
Component,Component,Component,Type of submitted information. ,True,Development
Development_id,Development_id,developmentId,A unique identifier for the development of the resource.,True,Development
Investigator_id,Investigator_id,investigatorId,A unique identifier for the investigator.,True,Development
Funder_id,Funder_id,funderId,A unique identifier for the funder of the resource.,False,Development
Publication_id,Publication_id,publicationId,A unique identifier for the publication.,False,Development
Resource_id,Resource_id,resourceId,A unique identifier for the resource.,True,Development
