,Component,type,name
212,BulkRNA-seqLevel2,id,BulkRNA-seqLevel1
213,BulkRNA-seqLevel2,id,Biospecimen
214,BulkRNA-seqLevel2,id,Demographics
215,BulkRNA-seqLevel2,id,Exposure
216,BulkRNA-seqLevel2,id,MolecularTest
217,BulkRNA-seqLevel2,id,FamilyHistory
218,BulkRNA-seqLevel3,id,FollowUp
219,BulkRNA-seqLevel3,id,Patient
220,BulkRNA-seqLevel3,id,Diagnosis
221,BulkRNA-seqLevel3,id,Therapy
222,BulkRNA-seqLevel3,id,BulkRNA-seqLevel2
223,BulkRNA-seqLevel3,id,BulkRNA-seqLevel1
224,BulkRNA-seqLevel3,id,BulkRNA-seqLevel3
225,BulkRNA-seqLevel3,id,Biospecimen
226,BulkRNA-seqLevel3,id,Demographics
227,BulkRNA-seqLevel3,id,Exposure
228,BulkRNA-seqLevel3,id,MolecularTest
229,BulkRNA-seqLevel3,id,FamilyHistory
230,BulkWESLevel1,id,FollowUp
231,BulkWESLevel1,id,Patient
232,BulkWESLevel1,id,Diagnosis
233,BulkWESLevel1,id,Therapy
234,BulkWESLevel1,id,BulkWESLevel1
235,BulkWESLevel1,id,Biospecimen
236,BulkWESLevel1,id,Demographics
237,BulkWESLevel1,id,Exposure
238,BulkWESLevel1,id,MolecularTest
239,BulkWESLevel1,id,FamilyHistory
240,BulkWESLevel2,id,FollowUp
241,BulkWESLevel2,id,Patient
242,BulkWESLevel2,id,Diagnosis
243,BulkWESLevel2,id,BulkWESLevel1
244,BulkWESLevel2,id,Therapy
245,BulkWESLevel2,id,BulkWESLevel2
246,BulkWESLevel2,id,Biospecimen
247,BulkWESLevel2,id,Demographics
248,BulkWESLevel2,id,Exposure
249,BulkWESLevel2,id,MolecularTest
250,BulkWESLevel2,id,FamilyHistory
251,BulkWESLevel3,id,FollowUp
252,BulkWESLevel3,id,Patient
253,BulkWESLevel3,id,Diagnosis
254,BulkWESLevel3,id,BulkWESLevel3
255,BulkWESLevel3,id,BulkWESLevel1
256,BulkWESLevel3,id,Therapy
257,BulkWESLevel3,id,BulkWESLevel2
258,BulkWESLevel3,id,Biospecimen
259,BulkWESLevel3,id,Demographics
260,BulkWESLevel3,id,Exposure
261,BulkWESLevel3,id,MolecularTest
262,BulkWESLevel3,id,FamilyHistory
263,ScATAC-seqLevel1,id,FollowUp
264,ScATAC-seqLevel1,id,Patient
265,ScATAC-seqLevel1,id,Diagnosis
266,ScATAC-seqLevel1,id,Therapy
267,ScATAC-seqLevel1,id,Biospecimen
268,ScATAC-seqLevel1,id,ScATAC-seqLevel1
269,ScATAC-seqLevel1,id,Demographics
270,ScATAC-seqLevel1,id,Exposure
271,ScATAC-seqLevel1,id,MolecularTest
272,ScATAC-seqLevel1,id,FamilyHistory
273,ImagingLevel2,id,FollowUp
274,ImagingLevel2,id,Patient
275,ImagingLevel2,id,Diagnosis
276,ImagingLevel2,id,ImagingLevel2
277,ImagingLevel2,id,Therapy
278,ImagingLevel2,id,ImagingLevel2Channels
279,ImagingLevel2,id,Biospecimen
280,ImagingLevel2,id,Demographics
281,ImagingLevel2,id,Exposure
282,ImagingLevel2,id,MolecularTest
283,ImagingLevel2,id,FamilyHistory
284,ImagingLevel2Channels,id,ImagingLevel2Channels
