,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
Country of Residence,Country of Residence,CountryofResidence,Country of Residence at enrollment,False,,"['Belize', 'Monaco', 'Bahrain', 'Iraq', 'South Africa', 'Vietnam', 'Niue', 'Poland', 'Albania', 'Burundi', 'Spain', 'Bhutan', 'Saudi Arabia', 'Madagascar', 'Gambia', 'Switzerland', 'Laos', 'Saint Lucia', 'Myanmar', 'Mayotte', 'Guadeloupe', 'South Korea', 'Tokelau', 'Syria', 'Pakistan', 'Isle of Man', 'Yemen', 'Svalbard & Jan Mayen Islands', 'Jersey', 'Bosnia and Herzegovina', 'Eritrea', 'Guinea', 'Philippines', 'Guinea-Bissau', 'Azerbaijan', 'Somalia', 'Sudan', 'Cambodia', 'Cuba', 'Rwanda', 'Tonga', 'Saint Kitts and Nevis', 'Finland', 'Paraguay', 'Malawi', 'Falkland Islands (Malvinas)', 'Federated States of Micronesia', 'Niger', 'Colombia', 'Democratic Republic of the Congo', 'North Macedonia', 'Haiti', 'Timor-Leste', 'Austria', 'Chad', 'Iceland', 'Dominica', 'Malta', 'Denmark', 'Kosovo', 'Martinique', 'Bangladesh', 'San Marino', 'South Sudan', 'Georgia', 'Nigeria', 'Gibraltar', 'Nauru', 'Tajikistan', 'Montserrat', 'Sweden', 'Antigua and Barbuda', 'Indonesia', 'Sri Lanka', 'Greece', 'Gabon', 'Japan', 'Mauritania', 'Nicaragua', 'China', 'Cape Verde', 'Grenada', 'French Polynesia', 'Moldova', 'Cayman Islands', 'Dominican Republic', 'Liechtenstein', 'Senegal', 'Holy See', 'Mali', 'Vanuatu', 'India', 'Bermuda', 'Netherlands', 'Ireland', 'Zambia', 'North Korea', 'Macau', 'Romania', 'Solomon Islands', 'Suriname', 'Nepal', 'Croatia', 'Reunion', 'Ghana', 'Saint Helena Ascension and Tristan da Cunha', 'Israel', 'Faroe Islands', 'Greenland', 'State of Palestine', 'Wallis and Futuna', 'Ecuador', 'French Guiana', 'Angola', 'Aruba', 'Guyana', 'Kuwait', 'Taiwan', 'Singapore', 'Togo', 'Andorra', 'Lebanon', 'Northern Mariana Islands', 'Armenia', 'Iran', 'New Zealand', 'Bolivia', 'Cameroon', 'Norway', 'Panama', 'Papua New Guinea', 'Qatar', 'Tanzania', 'Portugal', 'Slovakia', 'Equatorial Guinea', 'Estonia', 'Mongolia', 'Chile', 'Burkina Faso', 'Ethiopia', 'Hungary', 'Djibouti', 'Kenya', 'Kiribati', 'Botswana', 'Australia', 'Guam', 'Congo', 'Belarus', 'Uruguay', 'Czech Republic (Czechia)', 'Lesotho', 'United Kingdom', 'Lithuania', 'Russia', 'Thailand', 'Oman', 'Benin', 'Tunisia', 'Uganda', 'Namibia', 'Honduras', 'Algeria', 'Turkey', 'Morocco', 'Barbados', 'Sierra Leone', 'Venezuela', 'Saint Pierre and Miquelon', 'Kyrgyzstan', 'Trinidad and Tobago', 'Serbia', 'Peru', 'Comoros', 'Canada', 'Hong Kong', 'Liberia', 'Malaysia', 'Puerto Rico', 'Brazil', 'Virgin Islands British', 'Zimbabwe', 'Latvia', 'Eswatini', ""Cote d'Ivoire"", 'United Arab Emirates', 'Bahamas', 'Curacao', 'Slovenia', 'Central African Republic', 'Guatemala', 'Jordan', 'Egypt', 'Germany', 'Mozambique', 'Fiji', 'Turkmenistan', 'Mexico', 'Brunei', 'France', 'Kazakhstan', 'Argentina', 'Uzbekistan', 'Samoa', 'Bulgaria', 'Virgin Islands U.S.', 'Maldives', 'Cyprus', 'Costa Rica', 'Italy', 'Libya', 'Jamaica', 'Tuvalu', 'United States', 'Saint Vincent and the Grenadines', 'Palau', 'Western Sahara', 'Guernsey', 'Mauritius', 'El Salvador', 'Afghanistan', 'Belgium', 'Luxembourg', 'Ukraine', 'Marshall Islands', 'Montenegro', 'Cook Islands', 'Seychelles', 'Sao Tome and Principe', 'New Caledonia', 'Anguilla', '']",,Demographics
Year of Death,Year of Death,YearofDeath,Numeric value to represent the year of the death of an individual.,False,True,," If Vital Status is ""Dead"" then ""Year of Death"" is required",Demographics
Cause of Death Source,Cause of Death Source,CauseofDeathSource,The text term used to describe the source used to determine the patient's cause of death.,False,True,"['Medical Record', 'Not Reported', 'Unknown', 'Death Certificate', 'Autopsy', 'Social Security Death Index', '']"," If Vital Status is ""Dead"" then ""Cause of Death Source"" is required",Demographics
Cause of Death,Cause of Death,CauseofDeath,The cause of death,False,True,"['Cancer Related', 'Not Reported', 'Renal Disorder NOS', 'Not Applicable', 'Spinal Muscular Atrophy', 'End-stage Renal Disease', 'Not Cancer Related', 'Unknown', 'Infection', 'Surgical Complications', 'Cardiovascular Disorder NOS', 'Toxicity', '']"," If Vital Status is ""Dead"" then ""Cause of Death"" is required",Demographics
Days to Death,Days to Death,DaystoDeath,Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days.,False,True,," If Vital Status is ""Dead"" then ""Days to Death"" is required",Demographics
HTAN Participant ID,HTAN Participant ID,HTANParticipantID,HTAN ID associated with a patient based on HTAN ID SOP (eg HTANx_yyy ),True,,,,FamilyHistory
Relative with Cancer History,Relative with Cancer History,RelativewithCancerHistory,The yes/no/unknown indicator used to describe whether any of the patient's relatives have a history of cancer.,False,,"['None', 'Yes - Cancer History Relative', 'Not Reported', 'Unknown', '']",,FamilyHistory
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,FamilyHistory
Relationship Gender,Relationship Gender,RelationshipGender,The text term used to describe the gender of the patient's relative with a history of cancer.,False,True,"['Not Reported', 'unspecified', 'Unknown', 'female', 'male', '']"," If Relative with Cancer History is ""Yes - Cancer History Relative"" then ""Relationship Gender"" is required",FamilyHistory
Relationship Type,Relationship Type,RelationshipType,The subgroup that describes the state of connectedness between members of the unit of society organized around kinship ties.,False,True,"['Unrelated', 'Adoptive Father', 'Stepdaughter', 'Foster Father', 'Cousin', 'Identical Twin Sibling', 'Domestic Partner', 'Natural Father', 'Identical Twin Brother', 'Parent', 'Paternal Aunt', 'Paternal Half Sister', 'Maternal Great Aunt', 'Fraternal Twin Brother', 'Adopted Son', 'Identical Twin Sister', 'Not Reported', 'Child', 'Maternal Great Grandparent', 'Step Sibling', 'Maternal Aunt', 'Paternal Grandfather', 'Maternal First Cousin', 'Stepson', 'Son-in-law', 'Fraternal Twin Sibling', 'Other', 'Wife', 'Foster Sister', 'Nephew', 'Paternal Grandmother', 'Adoptive Mother', 'Maternal Uncle', 'Natural Sibling', 'Grandson', 'Grandfather', 'Half Sibling', 'Spouse', 'Paternal First Cousin', 'Stepbrother', 'Natural Grandparent', 'Paternal First Cousin Once Removed', 'Unknown', 'Paternal Grandparent', 'Sibling', 'Stepfather', 'Grandmother', 'Maternal Half Sibling', 'Paternal Half Brother', 'Grand Nephew', 'Half Brother', 'Stepsister', 'Stepmother', 'Full Brother', 'Refused', 'Foster Brother', 'Fraternal Twin Sister', 'Natural Grandchild', 'Grandchild', 'Male Cousin', 'Uncle', 'Niece', 'Foster Son', 'First Cousin', 'Brother-in-law', 'Natural Parent', 'Husband', 'Paternal Uncle', 'First Cousin Once Removed', 'Granddaughter', 'Mother', 'Natural Child', 'Sister', 'Adoptive Sister', 'Paternal Great Grandparent', 'Niece Second Degree Relative', 'Son', 'Maternal Grandfather', 'Daughter-in-law', 'Half Sister', 'Natural Daughter', 'Paternal Great Uncle', 'Maternal Grandparent', 'Natural Son', 'Aunt', 'Maternal First Cousin Once Removed', 'Maternal Half Sister', 'Grandparent', 'Step Child', 'Natural Grandmother', 'Full Sister', 'Legal Guardian', 'Adopted Daughter', 'Natural Sister', 'Twin Sibling', 'Paternal Half Sibling', 'Sister-in-law', 'Natural Brother', 'Ward', 'Paternal Great Aunt', 'Father-in-law', 'Adoptive Brother', 'Female Cousin', 'Father', 'Natural Mother', 'Natural Grandfather', 'Grand Niece', 'Great Grandchild', 'Daughter', 'Maternal Grandmother', 'Brother', 'Foster Daughter', 'Maternal Great Uncle', 'Foster Mother', 'Maternal Half Brother', 'Mother-in-law', '']"," If Relative with Cancer History is ""Yes - Cancer History Relative"" then ""Relationship Type"" is required",FamilyHistory
Relationship Age at Diagnosis,Relationship Age at Diagnosis,RelationshipAgeatDiagnosis,The age (in years) when the patient's relative was first diagnosed.,False,True,," If Relative with Cancer History is ""Yes - Cancer History Relative"" then ""Relationship Age at Diagnosis"" is required",FamilyHistory
Relatives with Cancer History Count,Relatives with Cancer History Count,RelativeswithCancerHistoryCount,The number of relatives the patient has with a known history of cancer.,False,True,," If Relative with Cancer History is ""Yes - Cancer History Relative"" then ""Relatives with Cancer History Count"" is required",FamilyHistory
Relationship Primary Diagnosis,Relationship Primary Diagnosis,RelationshipPrimaryDiagnosis,The text term used to describe the malignant diagnosis of the patient's relative with a history of cancer.,False,True,"['Sarcoma', 'Lymphoma', 'Bladder Cancer', 'Tonsillar Cancer', 'Chondrosarcoma', 'Kaposi Sarcoma', 'Esophageal Cancer', 'Gynecologic Cancer', 'Uterine Cancer', 'Leukemia', 'Wilms Tumor', 'Lung Cancer', 'Liver Cancer', 'Osteosarcoma', 'Throat Cancer', 'Mesothelioma', 'Bone Cancer', 'Ewing Sarcoma', 'Melanoma', 'Head and Neck Cancer', 'Unknown', 'Blood Cancer', 'Kidney Cancer', 'Brain Cancer', 'Adrenal Gland Cancer', 'Glioblastoma', 'Skin Cancer', 'Not Reported', 'Cervical Cancer', 'Basal Cell Cancer', 'Tongue Cancer', 'Hematologic Cancer', 'Multiple Myeloma', 'Ovarian Cancer', 'Laryngeal Cancer', 'Breast Cancer', 'Rectal Cancer', 'Spleen Cancer', 'Rhabdomyosarcoma', 'Prostate Cancer', 'Pancreas Cancer', 'Bile Duct Cancer', 'Gallbladder Cancer', 'Testicular Cancer', 'CNS Cancer', 'Neuroblastoma', 'Thyroid Cancer', 'Lymph Node Cancer', 'Colorectal Cancer', 'Cancer', 'Gastric Cancer', '']"," If Relative with Cancer History is ""Yes - Cancer History Relative"" then ""Relationship Primary Diagnosis"" is required",FamilyHistory
HTAN Participant ID,HTAN Participant ID,HTANParticipantID,HTAN ID associated with a patient based on HTAN ID SOP (eg HTANx_yyy ),True,,,,Exposure
Coal Dust Exposure,Coal Dust Exposure,CoalDustExposure,The yes/no/unknown indicator used to describe whether a patient was exposed to fine powder derived by the crushing of coal.,False,,"['No', 'Unknown', 'Yes', '']",,Exposure
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,Exposure
Radon Exposure,Radon Exposure,RadonExposure,The yes/no/unknown indicator used to describe whether the patient was exposed to radon.,False,,"['No', 'Unknown', 'Not Reported', 'Yes', '']",,Exposure
Respirable Crystalline Silica Exposure,Respirable Crystalline Silica Exposure,RespirableCrystallineSilicaExposure,"The yes/no/unknown indicator used to describe whether a patient was exposured to respirable crystalline silica, a widespread, naturally occurring, crystalline metal oxide that consists of different forms including quartz, cristobalite, tridymite, tripoli, ganister, chert and novaculite.",False,,"['No', 'Unknown', 'Yes', '']",,Exposure
Start Days from Index,Start Days from Index,StartDaysfromIndex,"Number of days from the date of birth (index date) to the date of an event (e.g. exposure to environmental factor, treatment start, etc.). If not applicable please enter 'Not Applicable'",True,,,,Exposure
Alcohol Exposure,Alcohol Exposure,AlcoholExposure,Indicate if individual has alcohol exposure,True,,"['Not Reported', 'No - Alcohol Exposure', 'Yes - Alcohol Exposure']",,Exposure
Environmental Tobacco Smoke Exposure,Environmental Tobacco Smoke Exposure,EnvironmentalTobaccoSmokeExposure,"The yes/no/unknown indicator used to describe whether a patient was exposed to smoke that is emitted from burning tobacco, including cigarettes, pipes, and cigars. This includes tobacco smoke exhaled by smokers.",False,,"['No', 'Unknown', 'Yes', '']",,Exposure
Smoking Exposure,Smoking Exposure,SmokingExposure,Indicate if individual has smoking exposure,True,,"['No - Smoking Exposure', 'Not Reported', 'Yes - Smoking Exposure']",,Exposure
Asbestos Exposure,Asbestos Exposure,AsbestosExposure,The yes/no/unknown indicator used to describe whether the patient was exposed to asbestos.,False,,"['No', 'Unknown', 'Not Reported', 'Yes', '']",,Exposure
Alcohol Drinks Per Day,Alcohol Drinks Per Day,AlcoholDrinksPerDay,Numeric value used to describe the average number of alcoholic beverages a person consumes per day.,False,True,," If Alcohol Exposure is ""Yes - Alcohol Exposure"" then ""Alcohol Drinks Per Day"" is required",Exposure
Alcohol Days Per Week,Alcohol Days Per Week,AlcoholDaysPerWeek,Numeric value used to describe the average number of days each week that a person consumes an alcoholic beverage.,False,True,," If Alcohol Exposure is ""Yes - Alcohol Exposure"" then ""Alcohol Days Per Week"" is required",Exposure
Alcohol Intensity,Alcohol Intensity,AlcoholIntensity,Category to describe the patient's current level of alcohol use as self-reported by the patient.,False,True,"['Non-Drinker', 'Not Reported', 'Unknown', 'Lifelong Non-Drinker', 'Occasional Drinker', 'Drinker', 'Heavy Drinker', '']"," If Alcohol Exposure is ""Yes - Alcohol Exposure"" then ""Alcohol Intensity"" is required",Exposure
Alcohol Type,Alcohol Type,AlcoholType,Type of alcohol use,False,True,"['Beer', 'Wine', 'Not Reported', 'Other', 'Unknown', 'Liquor', '']"," If Alcohol Exposure is ""Yes - Alcohol Exposure"" then ""Alcohol Type"" is required",Exposure
Alcohol History,Alcohol History,AlcoholHistory,A response to a question that asks whether the participant has consumed at least 12 drinks of any kind of alcoholic beverage in their lifetime.,False,True,"['No', 'Unknown', 'Not Reported', 'Yes', '']"," If Alcohol Exposure is ""Yes - Alcohol Exposure"" then ""Alcohol History"" is required",Exposure
Tobacco Smoking Quit Year,Tobacco Smoking Quit Year,TobaccoSmokingQuitYear,The year in which the participant quit smoking.,False,True,," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Tobacco Smoking Quit Year"" is required",Exposure
Smoking Frequency,Smoking Frequency,SmokingFrequency,The text term used to generally decribe how often the patient smokes.,False,True,"['Unknown', 'Some days', 'Every day', '']"," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Smoking Frequency"" is required",Exposure
Tobacco Smoking Status,Tobacco Smoking Status,TobaccoSmokingStatus,Category describing current smoking status and smoking history as self-reported by a patient,False,True,"['Smoking history not documented', 'Not Reported', 'Current Reformed Smoker for > 15 yrs', 'Unknown', 'Current Reformed Smoker for < or = 15 yrs', 'Lifelong Non-Smoker', 'Current Smoker', 'Duration Not Specified', 'Current Reformed Smoker', '']"," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Tobacco Smoking Status"" is required",Exposure
Tobacco Use per Day,Tobacco Use per Day,TobaccoUseperDay,Numeric value that represents the number of times the patient uses tobacco each day.,False,True,," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Tobacco Use per Day"" is required",Exposure
Type of Smoke Exposure,Type of Smoke Exposure,TypeofSmokeExposure,The text term used to describe the patient's specific type of smoke exposure.,False,True,"['Workrelated smoke artificial smoke machines', 'Workrelated smoke fire fighting', 'No Smoke Exposure', 'Workrelated smoke foundry', 'Volcanic smoke', 'Factory smokestack smoke', 'Field burning smoke', 'Hashish smoke', 'Grilling smoke', 'Accidental building fire smoke', 'Indoor wood burning stove or fireplace smoke', 'Oil burning smoke Kerosene', 'Workrelated smoke generators', 'Workrelated smoke paint baking', 'Accidental fire smoke NOS', 'Indoor coal burning stove or fireplace smoke', 'Tobacco smoke cigarettes', 'Workrelated smoke military', 'Tobacco smoke cigar', 'Unknown', 'Fire smoke NOS', 'Smokehouse smoke', 'Wood burning smoke factory', 'Accidental vehicle fire smoke', 'Aircraft smoke', 'Waste burning smoke', 'Wood burning smoke NOS', 'Machine smoke', 'Oil burning smoke NOS', 'Workrelated smoke plumbing', 'Coal smoke NOS', 'Tobacco smoke pipe', 'Furnace or boiler smoke', 'Accidental forest fire smoke', 'Marijuana smoke', 'Workrelated smoke plastics factory', 'Smoke exposure NOS', 'Gas burning smoke propane', 'Cooking related smoke NOS', 'Electrical fire smoke', 'Burning tree smoke', 'Indoor stove or fireplace smoke NOS', 'Electronic cigarette smoke NOS', 'Environmental tobacco smoke', 'Accidental grass fire smoke', 'Workrelated smoke soldering/welding', 'Recreational fire smoke', 'Workrelated smoke NOS', 'Grease fire smoke', '']"," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Type of Smoke Exposure"" is required",Exposure
Time between Waking and First Smoke,Time between Waking and First Smoke,TimebetweenWakingandFirstSmoke,TBD,False,True,," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Time between Waking and First Smoke"" is required",Exposure
Tobacco Smoking Onset Year,Tobacco Smoking Onset Year,TobaccoSmokingOnsetYear,The year in which the participant began smoking.,False,True,," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Tobacco Smoking Onset Year"" is required",Exposure
Cigarettes per Day,Cigarettes per Day,CigarettesperDay,The average number of cigarettes smoked per day.,False,True,," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Cigarettes per Day"" is required",Exposure
Years Smoked,Years Smoked,YearsSmoked,Numeric value (or unknown) to represent the number of years a person has been smoking.,False,True,," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Years Smoked"" is required",Exposure
Smokeless Tobacco Quit Age,Smokeless Tobacco Quit Age,SmokelessTobaccoQuitAge,Smokeless tobacco quit age,False,True,," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Smokeless Tobacco Quit Age"" is required",Exposure
Smoke Exposure Duration,Smoke Exposure Duration,SmokeExposureDuration,Text term used to describe the length of time the patient was exposed to an environmental factor.,False,True,"['Unknown', 'Not Reported', 'Six Weeks or More', '']"," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Smoke Exposure Duration"" is required",Exposure
Secondhand Smoke as Child,Secondhand Smoke as Child,SecondhandSmokeasChild,The text term used to indicate whether the patient was exposed to secondhand smoke as a child.,False,True,"['No', 'Unknown', 'Not Reported', 'Yes', '']"," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Secondhand Smoke as Child"" is required",Exposure
Type of Tobacco Used,Type of Tobacco Used,TypeofTobaccoUsed,The text term used to describe the specific type of tobacco used by the patient.,False,True,"['Cigar', 'Marijuana', 'Other', 'Cigarettes', 'Pipe', 'Smokeless Tobacco', 'Electronic Cigarette', '']"," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Type of Tobacco Used"" is required",Exposure
Pack Years Smoked,Pack Years Smoked,PackYearsSmoked,Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.,False,True,," If Smoking Exposure is ""Yes - Smoking Exposure"" then ""Pack Years Smoked"" is required",Exposure
Marijuana Use Per Week,Marijuana Use Per Week,MarijuanaUsePerWeek,Numeric value that represents the number of times the patient uses marijuana each day.,False,True,," If Type is ""Marijuana smoke"" then ""Marijuana Use Per Week"" is required",Exposure
Karnofsky Performance Status,Karnofsky Performance Status,KarnofskyPerformanceStatus,Text term used to describe the classification used of the functional capabilities of a person.,False,,"['100', '40', '30', '70', '90', '50', '60', '10', '20', '80', '0', '']",,FollowUp
Barretts Esophagus Goblet Cells Present,Barretts Esophagus Goblet Cells Present,BarrettsEsophagusGobletCellsPresent,TBD,False,,,,FollowUp
Imaging Result,Imaging Result,ImagingResult,The text term used to describe the result of the imaging or scan performed on the patient.,False,,"['Not Reported', 'Not Performed', 'Positive', 'Unknown', 'Indeterminate', 'Negative', '']",,FollowUp
Pregnancy Outcome,Pregnancy Outcome,PregnancyOutcome,The text term used to describe the type of pregnancy the patient had,False,,"['Induced Abortion', 'Ectopic Pregnancy', 'Not Reported', 'Miscarriage', 'Unknown', 'Live Birth', 'Stillbirth', '']",,FollowUp
Days to Follow Up,Days to Follow Up,DaystoFollowUp,Number of days between the date used for index and the date of the patient's last follow-up appointment or contact.,True,,,,FollowUp
Hysterectomy Type,Hysterectomy Type,HysterectomyType,The text term used to describe the type of hysterectomy the patient had.,False,,"['Not Reported', 'Radical Hysterectomy', 'Unknown', 'Simple Hysterectomy', 'Hysterectomy NOS', 'Not performed', '']",,FollowUp
Immunosuppressive Treatment Type,Immunosuppressive Treatment Type,ImmunosuppressiveTreatmentType,The text term used to describe the type of immunosuppresive treatment the patient received.,False,,"['Anti-TNFTherapy', 'None', 'Methotrexate', 'Not Reported', 'Azathioprine', 'Other', 'Unknown', 'Cyclophosphamide', '']",,FollowUp
CDC HIV Risk Factors,CDC HIV Risk Factors,CDCHIVRiskFactors,"The text term used to describe a risk factor for human immunodeficiency virus, as described by the Center for Disease Control.",False,,"['None', 'Homosexual Contact', 'Not Reported', 'Hemophiliac', 'Intravenous Drug User', 'Unknown', 'Transfusion Recipient', 'Heterosexual Contact', '']",,FollowUp
